,close,value
2002-05-17 00:00:00,,6.7599999999999998
2002-05-24 00:00:00,,6.9000000000000004
2002-05-31 00:00:00,,6.8200000000000003
2002-06-07 00:00:00,,6.6900000000000004
2002-06-14 00:00:00,,6.1799999999999997
2002-06-21 00:00:00,,5.3799999999999999
2002-06-28 00:00:00,,6.1100000000000003
2002-07-05 00:00:00,,5.7999999999999998
2002-07-12 00:00:00,,5.6900000000000004
2002-07-19 00:00:00,,5.5999999999999996
2002-07-26 00:00:00,,4.9100000000000001
2002-08-02 00:00:00,,5.3899999999999997
2002-08-09 00:00:00,,5.6200000000000001
2002-08-16 00:00:00,,5.0800000000000001
2002-08-23 00:00:00,,5.1500000000000004
2002-08-30 00:00:00,,5.5
2002-09-06 00:00:00,,5.6799999999999997
2002-09-13 00:00:00,,6.0
2002-09-20 00:00:00,,5.5
2002-09-27 00:00:00,,4.5899999999999999
2002-10-04 00:00:00,,5.1100000000000003
2002-10-11 00:00:00,,4.6299999999999999
2002-10-18 00:00:00,,4.8600000000000003
2002-10-25 00:00:00,,5.4299999999999997
2002-11-01 00:00:00,,5.5199999999999996
2002-11-08 00:00:00,,5.4100000000000001
2002-11-15 00:00:00,,5.4299999999999997
2002-11-22 00:00:00,,5.6500000000000004
2002-11-29 00:00:00,,5.5099999999999998
2002-12-06 00:00:00,,5.5599999999999996
2002-12-13 00:00:00,,5.6200000000000001
2002-12-20 00:00:00,,6.0899999999999999
2002-12-27 00:00:00,,5.8300000000000001
2003-01-03 00:00:00,,5.8600000000000003
2003-01-10 00:00:00,,6.5599999999999996
2003-01-17 00:00:00,,6.3200000000000003
2003-01-24 00:00:00,,5.6399999999999997
2003-01-31 00:00:00,,5.9400000000000004
2003-02-07 00:00:00,,5.6200000000000001
2003-02-14 00:00:00,,5.7300000000000004
2003-02-21 00:00:00,,5.6399999999999997
2003-02-28 00:00:00,,5.3399999999999999
2003-03-07 00:00:00,,5.5099999999999998
2003-03-14 00:00:00,,5.7599999999999998
2003-03-21 00:00:00,,6.0300000000000002
2003-03-28 00:00:00,,5.8099999999999996
2003-04-04 00:00:00,,6.1299999999999999
2003-04-11 00:00:00,,5.79
2003-04-18 00:00:00,,5.9400000000000004
2003-04-25 00:00:00,,5.9299999999999997
2003-05-02 00:00:00,,6.3399999999999999
2003-05-09 00:00:00,,6.5300000000000002
2003-05-16 00:00:00,,6.79
2003-05-23 00:00:00,,6.6600000000000001
2003-05-30 00:00:00,,6.5999999999999996
2003-06-06 00:00:00,,6.79
2003-06-13 00:00:00,,6.7599999999999998
2003-06-20 00:00:00,,6.3899999999999997
2003-06-27 00:00:00,,6.3399999999999999
2003-07-04 00:00:00,,6.6200000000000001
2003-07-11 00:00:00,,6.7800000000000002
2003-07-18 00:00:00,,7.1200000000000001
2003-07-25 00:00:00,,6.9900000000000002
2003-08-01 00:00:00,,6.7300000000000004
2003-08-08 00:00:00,,7.2199999999999998
2003-08-15 00:00:00,,7.29
2003-08-22 00:00:00,,7.2400000000000002
2003-08-29 00:00:00,,7.5999999999999996
2003-09-05 00:00:00,,8.0999999999999996
2003-09-12 00:00:00,,8.0399999999999991
2003-09-19 00:00:00,,7.8499999999999996
2003-09-26 00:00:00,,7.54
2003-10-03 00:00:00,,8.2300000000000004
2003-10-10 00:00:00,,8.3100000000000005
2003-10-17 00:00:00,,8.0700000000000003
2003-10-24 00:00:00,,7.9400000000000004
2003-10-31 00:00:00,,7.8799999999999999
2003-11-07 00:00:00,,8.1600000000000001
2003-11-14 00:00:00,,8.5899999999999999
2003-11-21 00:00:00,,8.5800000000000001
2003-11-28 00:00:00,,8.3599999999999994
2003-12-05 00:00:00,,8.5700000000000003
2003-12-12 00:00:00,,9.0299999999999994
2003-12-19 00:00:00,,9.4600000000000009
2003-12-26 00:00:00,,9.3599999999999994
2004-01-02 00:00:00,,9.9000000000000004
2004-01-09 00:00:00,,10.73
2004-01-16 00:00:00,,10.5
2004-01-23 00:00:00,,10.640000000000001
2004-01-30 00:00:00,,9.7899999999999991
2004-02-06 00:00:00,,10.199999999999999
2004-02-13 00:00:00,,10.720000000000001
2004-02-20 00:00:00,,10.109999999999999
2004-02-27 00:00:00,,10.25
2004-03-05 00:00:00,,10.710000000000001
2004-03-12 00:00:00,,10.43
2004-03-19 00:00:00,,10.470000000000001
2004-03-26 00:00:00,,10.34
2004-04-02 00:00:00,,10.81
2004-04-09 00:00:00,,10.869999999999999
2004-04-16 00:00:00,,10.58
2004-04-23 00:00:00,,10.109999999999999
2004-04-30 00:00:00,,9.3399999999999999
2004-05-07 00:00:00,,8.9499999999999993
2004-05-14 00:00:00,,9.1500000000000004
2004-05-21 00:00:00,,8.4000000000000004
2004-05-28 00:00:00,,8.8800000000000008
2004-06-04 00:00:00,,9.0999999999999996
2004-06-11 00:00:00,,9.0500000000000007
2004-06-18 00:00:00,,9.3599999999999994
2004-06-25 00:00:00,,9.5099999999999998
2004-07-02 00:00:00,,9.5999999999999996
2004-07-09 00:00:00,,9.2599999999999998
2004-07-16 00:00:00,,9.8000000000000007
2004-07-23 00:00:00,,9.3499999999999996
2004-07-30 00:00:00,,9.7599999999999998
2004-08-06 00:00:00,,9.7699999999999996
2004-08-13 00:00:00,,9.9399999999999995
2004-08-20 00:00:00,,10.58
2004-08-27 00:00:00,,10.34
2004-09-03 00:00:00,,10.4
2004-09-10 00:00:00,,10.5
2004-09-17 00:00:00,,10.91
2004-09-24 00:00:00,,11.52
2004-10-01 00:00:00,,11.75
2004-10-08 00:00:00,,12.1
2004-10-15 00:00:00,,11.630000000000001
2004-10-22 00:00:00,,11.85
2004-10-29 00:00:00,,11.68
2004-11-05 00:00:00,,11.98
2004-11-12 00:00:00,,11.98
2004-11-19 00:00:00,,11.31
2004-11-26 00:00:00,,11.73
2004-12-03 00:00:00,,11.66
2004-12-10 00:00:00,,11.49
2004-12-17 00:00:00,,11.84
2004-12-24 00:00:00,,12.08
2004-12-31 00:00:00,,12.140000000000001
2005-01-07 00:00:00,,11.68
2005-01-14 00:00:00,,11.76
2005-01-21 00:00:00,,11.390000000000001
2005-01-28 00:00:00,,11.6
2005-02-04 00:00:00,,12.16
2005-02-11 00:00:00,,12.85
2005-02-18 00:00:00,,12.84
2005-02-25 00:00:00,,14.130000000000001
2005-03-04 00:00:00,,14.41
2005-03-11 00:00:00,,13.449999999999999
2005-03-18 00:00:00,,13.23
